Real o Pto.,Asiento ,Documento ,Proveedor,Detalle,Fecha_Contable,Fecha_Documento,Moneda, Precio Unitario,ARS,USD, Cantidad, Cuenta ,Cuenta,Área,Linea Negocio,Horario
R20,,6835027,Rodeo S.A.,,1/20/2020,1/5/2020,Pesos,"  1,793.04 ",  18.87 ,"  1,793.04 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,luq,diurno
R20,,5605261,BTG Transportes S.A.,,1/26/2020,1/11/2020,Dólares,  512.00 ,"  49,725.44 ",  512.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,luq,diurno
R20,,10381687,BTG Transportes S.A.,,1/16/2020,1/1/2020,Dólares,  512.00 ,"  49,725.44 ",  512.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,luq,diurno
R20,,3079515,BTG Transportes S.A.,,1/16/2020,1/1/2020,Pesos,  248.00 ,"  24,085.76 ",  248.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,luq,diurno
R20,,9337275,BTG Transportes S.A.,,1/16/2020,1/1/2020,Pesos,  358.00 ,"  34,768.96 ",  358.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Inspecciones,sfn,diurno
R20,,1814888,BTG Transportes S.A.,,1/16/2020,1/1/2020,Pesos,  248.00 ,"  24,085.76 ",  248.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,igr,diurno
R20,,1972739,BTG Transportes S.A.,,1/16/2020,1/1/2020,Pesos,  512.00 ,"  49,725.44 ",  512.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,sfn,diurno
R20,,548563,BTG Transportes S.A.,,1/16/2020,1/1/2020,Pesos,  512.00 ,"  49,725.44 ",  512.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,sfn,diurno
R20,,13861613,BTG Transportes S.A.,,1/16/2020,1/1/2020,Dólares,  578.00 ,"  56,135.36 ",  578.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,sfn,nocturno
R20,,5474923,Melbourne S.A.,,1/16/2020,1/1/2020,Dólares,  520.00 ,"  101,004.80 ","  1,040.00 ",  2.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,igr,diurno
R20,,13122199,Melbourne S.A.,,1/16/2020,1/1/2020,Pesos,"  1,040.00 ","  101,004.80 ","  1,040.00 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,igr,diurno
R20,,10443629,BTG Transportes S.A.,,1/16/2020,1/1/2020,Dólares,  366.00 ,"  71,091.84 ",  732.00 ,  2.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,sfn,diurno
R20,,3698322, Melbourne S.A.,,1/16/2020,1/1/2020,Pesos,  520.00 ,"  101,004.80 ","  1,040.00 ",  2.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,sfn,diurno
R20,,14393468,Melbourne S.A.,,1/16/2020,1/1/2020,Dólares,  248.00 ,"  24,085.76 ",  248.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,luq,diurno
R20,,1250756,Melbourne S.A.,,1/16/2020,1/1/2020,Pesos,  248.00 ,"  24,085.76 ",  248.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,luq,diurno
R20,,1880926,Rodeo) S.A.,,1/22/2020,1/7/2020,Pesos,"  6,941.92 ","  674,199.27 ","  6,941.92 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,eze,diurno
R20,,9824632,Fierro S.A.,,1/22/2020,1/7/2020,Pesos,  864.00 ,"  83,911.68 ",  864.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,rza,diurno
R20,,12790171,Fierro S.A.,,1/22/2020,1/7/2020,Dólares,  864.00 ,"  83,911.68 ",  864.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,uaq,diurno
R20,,1521202,Fierro S.A.,,1/22/2020,1/7/2020,Dólares,  864.00 ,"  83,911.68 ",  864.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,uaq,diurno
R20,,4041392,Fierro S.A.,,1/22/2020,1/7/2020,Dólares,  864.00 ,"  83,911.68 ",  864.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,luq,diurno
R20,,8755174,Fierro S.A.,,1/24/2020,1/9/2020,Dólares,  864.00 ,"  83,911.68 ",  864.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,luq,diurno
R20,,8666574,Elex SRL,,2/7/2020,1/23/2020,Dólares,  671.20 ,"- 65,186.94 ",- 671.20 ,- 1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,res,nocturno
R20,,11131022,Elex SRL,,2/7/2020,1/23/2020,Dólares,  671.20 ,"- 65,186.94 ",- 671.20 ,- 1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,sla,diurno
R20,,13430668,Elex SRL,,2/7/2020,1/23/2020,Pesos,  353.17 ,"- 34,299.68 ",- 353.17 ,- 1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,sla,diurno
R20,,5959882,Elex SRL,,2/7/2020,1/23/2020,Dólares,  664.00 ,"  64,487.68 ",  664.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,luq,diurno
R20,,8363998,Elex SRL,,2/7/2020,1/23/2020,Dólares,  664.00 ,"  64,487.68 ",  664.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,rza,diurno
R20,,5577541,Elex SRL,,2/7/2020,1/23/2020,Dólares,  808.00 ,"  78,472.96 ",  808.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,sla,diurno
R20,,10997066,Elex SRL,,2/7/2020,1/23/2020,Pesos,  920.00 ,"  89,350.40 ",  920.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,res,nocturno
R20,,13917686,Elex SRL,,2/7/2020,1/23/2020,Dólares,  608.00 ,"  59,048.96 ",  608.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,irj,diurno
R20,,4213590,Elex SRL,,2/7/2020,1/23/2020,Pesos,  664.00 ,"  64,487.68 ",  664.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,igr,diurno
R20,,5036458,Elex SRL,,2/7/2020,1/23/2020,Pesos,  664.00 ,"  64,487.68 ",  664.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,sfn,diurno
R20,,12802943,Elex SRL,,2/7/2020,1/23/2020,Pesos,  664.00 ,"  64,487.68 ",  664.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,sla,diurno
R20,,3799545,Elex SRL,,2/7/2020,1/23/2020,Dólares,  332.00 ,"  64,487.68 ",  664.00 ,  2.00 , 500556-0688-08-000,Servicios de Transporte,Compras,crd,diurno
R20,,4833487,Elex SRL,,2/7/2020,1/23/2020,Dólares,"  1,232.00 ","  119,651.84 ","  1,232.00 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,res,diurno
R20,,8989833,Elex SRL,,2/7/2020,1/23/2020,Pesos,  574.67 ,"  167,434.88 ","  1,724.00 ",  3.00 , 500556-0688-08-000,Servicios de Transporte,Compras,rza,diurno
R20,,3915597,Elex SRL,,2/7/2020,1/23/2020,Pesos,"  1,724.00 ","  167,434.88 ","  1,724.00 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,luq,diurno
R20,,7885673,Elex SRL,,2/7/2020,1/23/2020,Dólares,  920.00 ,"  89,350.40 ",  920.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,uaq,diurno
R20,,10680532,Elex SRL,,2/7/2020,1/23/2020,Pesos,  176.59 ,"- 34,300.45 ",- 353.18 ,- 2.00 , 500556-0688-08-000,Servicios de Transporte,Compras,crd,diurno
R20,,10118379,Elex SRL,,2/7/2020,1/23/2020,Pesos,  353.17 ,"- 34,299.68 ",- 353.17 ,- 1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,irj,diurno
R20,,2600108,Elex SRL,,2/7/2020,1/23/2020,Dólares,  353.17 ,"- 34,299.68 ",- 353.17 ,- 1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,sfn,diurno
R20,,5115238,Elex SRL,,2/7/2020,1/23/2020,Pesos,"  1,232.00 ","  119,651.84 ","  1,232.00 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,mdz,diurno
R20,,11955561,Elex SRL,,2/7/2020,1/23/2020,Pesos,  608.00 ,"  59,048.96 ",  608.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,mdz,diurno
R20,,10931858,Elex SRL,,2/7/2020,1/23/2020,Dólares,  664.00 ,"  64,487.68 ",  664.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,mdz,nocturno
R20,,6728208,Elex SRL,,2/7/2020,1/23/2020,Dólares,  353.17 ,"- 34,299.68 ",- 353.17 ,- 1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,uaq,diurno
R20,,5062850,Elex SRL,,2/7/2020,1/23/2020,Pesos,  353.17 ,"- 34,299.68 ",- 353.17 ,- 1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,mdz,diurno
R20,,5732641,Elex SRL,,2/7/2020,1/23/2020,Dólares,  353.17 ,"- 34,299.68 ",- 353.17 ,- 1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,mdz,diurno
R20,,8908539,Elex SRL,,2/7/2020,1/23/2020,Pesos,  353.17 ,"- 34,299.68 ",- 353.17 ,- 1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,igr,diurno
R20,,8697990,Elex SRL,,2/7/2020,1/23/2020,Pesos,  353.17 ,"- 34,299.68 ",- 353.17 ,- 1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,luq,diurno
R20,,6819068,Elex SRL,,2/7/2020,1/23/2020,Dólares,  117.72 ,"- 34,299.68 ",- 353.17 ,- 3.00 , 500556-0688-08-000,Servicios de Transporte,Compras,rza,diurno
R20,,12887993,Elex SRL,,2/7/2020,1/23/2020,Pesos,  608.00 ,"  59,048.96 ",  608.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,eze,nocturno
R20,,2172426,Elex SRL,,2/7/2020,1/23/2020,Pesos,  353.15 ,"- 34,298.12 ",- 353.15 ,- 1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,mdz,diurno
R20,,7856416,Elex SRL,,2/7/2020,1/23/2020,Dólares,  353.17 ,"- 34,299.68 ",- 353.17 ,- 1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,res,diurno
R20,,3560569,Terra S.A.,,2/14/2020,1/30/2020,Pesos,  33.17 ,"  3,221.28 ",  33.17 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Seguridad,fma,diurno
R20,,12249013,Terra S.A.,,2/14/2020,1/30/2020,Pesos,  131.51 ,"  12,772.45 ",  131.51 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,fma,diurno
R20,,12135526,Terra S.A.,,2/14/2020,1/30/2020,Dólares,  131.51 ,"  12,772.45 ",  131.51 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,fma,diurno
R20,,9125787,Terra S.A.,,2/14/2020,1/30/2020,Dólares,  180.69 ,"  17,548.42 ",  180.69 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,fma,diurno
R20,,2040848,Terra S.A.,,2/14/2020,1/30/2020,Pesos,  82.34 ,"  7,997.25 ",  82.34 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,fma,diurno
R20,,4827685,Terra S.A.,,2/14/2020,1/30/2020,Dólares,  108.58 ,"  10,545.68 ",  108.58 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,fma,nocturno
R20,,347153,Terra S.A.,,2/17/2020,2/2/2020,Dólares,  32.97 ,"  3,201.85 ",  32.97 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,fma,diurno
R20,,329305,Terra S.A.,,2/17/2020,2/2/2020,Dólares,  42.77 ,"  4,153.63 ",  42.77 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Seguridad,fma,diurno
R20,,5250053,Terra S.A.,,2/17/2020,2/2/2020,Dólares,  42.77 ,"  4,153.63 ",  42.77 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Seguridad,juj,diurno
R20,,7069212,Terra S.A.,,2/17/2020,2/2/2020,Dólares,  277.82 ,"  26,982.27 ",  277.82 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,fma,diurno
R20,,7537075,Terra S.A.,,2/17/2020,2/2/2020,Pesos,  219.06 ,"  21,274.72 ",  219.06 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,juj,diurno
R20,,3277435,Terra S.A.,,2/17/2020,2/2/2020,Pesos,  42.77 ,"  4,153.63 ",  42.77 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,juj,diurno
R20,,7548453,Terra S.A.,,2/17/2020,2/2/2020,Dólares,  42.77 ,"  4,153.63 ",  42.77 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,fma,diurno
R20,,8349551,Melbourne S.A.,,2/18/2020,2/3/2020,Pesos,  248.00 ,"  24,085.76 ",  248.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,igr,diurno
R20,,12593674,Melbourne S.A.,,2/18/2020,2/3/2020,Pesos,  248.00 ,"  24,085.76 ",  248.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,igr,diurno
R20,,12090615,Melbourne S.A.,,2/18/2020,2/3/2020,Pesos,  248.00 ,"  24,085.76 ",  248.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,igr,diurno
R20,,287684,Melbourne S.A.,,2/18/2020,2/3/2020,Dólares,  248.00 ,"  24,085.76 ",  248.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,igr,diurno
R20,,5315073,Terra S.A.,,2/18/2020,2/3/2020,Dólares,  101.22 ,"  9,830.87 ",  101.22 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,fma,diurno
R20,,9905551,Terra S.A.,,2/18/2020,2/3/2020,Dólares,  101.22 ,"  9,830.87 ",  101.22 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,juj,diurno
R20,,9055478,Melbourne S.A.,,2/18/2020,2/3/2020,Pesos,"  1,854.00 ","  180,060.48 ","  1,854.00 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,igr,diurno
R20,,4278744,Melbourne S.A.,,2/18/2020,2/3/2020,Dólares,"  1,568.00 ","  152,284.16 ","  1,568.00 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,sfn,diurno
R20,,1998820,Melbourne S.A.,,2/18/2020,2/3/2020,Pesos,"  1,040.00 ","  101,004.80 ","  1,040.00 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,crd,diurno
R20,,8712767,Terra S.A.,,2/18/2020,2/3/2020,Pesos,  42.61 ,"  4,138.09 ",  42.61 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,fma,diurno
R20,,6516251,Terra SA,,2/18/2020,2/3/2020,Dólares,  42.61 ,"  4,138.09 ",  42.61 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,fma,diurno
R20,,6948755,Terra S.A.,,2/18/2020,2/3/2020,Pesos,  42.61 ,"  4,138.09 ",  42.61 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,juj,diurno
R20,,6673218,Terra SA,,2/18/2020,2/3/2020,Pesos,  42.61 ,"  4,138.09 ",  42.61 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,juj,diurno
R20,,9390943,Terra S.A.,,2/18/2020,2/3/2020,Dólares,  42.61 ,"  4,138.09 ",  42.61 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,juj,diurno
R20,,13484443,Terra S.A.,,2/18/2020,2/3/2020,Pesos,  58.25 ,"  5,657.05 ",  58.25 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,fma,nocturno
R20,,8196914,Terra S.A.,,2/18/2020,2/3/2020,Pesos,  58.25 ,"  5,657.05 ",  58.25 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,juj,nocturno
R20,,6104091,Terra S.A.,,2/18/2020,2/3/2020,Pesos,  54.71 ,"  5,313.63 ",  54.71 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,sla,nocturno
R20,,1744517,Melbourne S.A.,,2/18/2020,2/3/2020,Dólares,  441.60 ,"  42,888.19 ",  441.60 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,igr,nocturno
R20,,5599960,Melbourne S.A.,,2/18/2020,2/3/2020,Pesos,  512.00 ,"  49,725.44 ",  512.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,sfn,diurno
R20,,12956441,Melbourne S.A.,,2/18/2020,2/3/2020,Dólares,  512.00 ,"  49,725.44 ",  512.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,irj,diurno
R20,,4729553,BTG Transportes S.A.,,2/18/2020,2/3/2020,Pesos,  578.00 ,"  56,135.36 ",  578.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,sfn,nocturno
R20,,11389621,BTG Transportes S.A.,,2/18/2020,2/3/2020,Dólares,  441.60 ,"  42,888.19 ",  441.60 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,igr,nocturno
R20,,7697283,Terra S.A.,,2/18/2020,2/3/2020,Pesos,  159.83 ,"  15,522.88 ",  159.83 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,sla,diurno
R20,,14691636,Terra S.A.,,2/19/2020,2/4/2020,Dólares,  159.83 ,"  15,522.88 ",  159.83 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,fma,diurno
R20,,2346973,Terra S.A.,,2/19/2020,2/4/2020,Pesos,  101.22 ,"  9,830.87 ",  101.22 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,fma,diurno
R20,,6189350,Fierro S.A.,,2/20/2020,2/5/2020,Pesos,  864.00 ,"  83,911.68 ",  864.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,uaq,diurno
R20,,9020496,FERNANDEZ y CIA,,2/26/2020,2/11/2020,Dólares,  124.00 ,"- 12,042.88 ",- 124.00 ,- 1.00 , 500556-0688-08-000,Servicios de Transporte,Seguridad,cor,diurno
R20,,3680319,FERNANDEZ y CIA,,2/26/2020,2/11/2020,Dólares,  124.00 ,"- 12,042.88 ",- 124.00 ,- 1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,cor,diurno
R20,,13649429,FERNANDEZ y CIA,,2/26/2020,2/11/2020,Dólares,"  1,064.00 ","  103,335.68 ","  1,064.00 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,Seguridad,cor,diurno
R20,,10733075,FERNANDEZ y CIA,,2/26/2020,2/11/2020,Dólares,"  1,064.00 ","  103,335.68 ","  1,064.00 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,cor,diurno
R20,,3000115,Fierro S.A.,,2/27/2020,2/12/2020,Dólares,  216.00 ,"  41,955.84 ",  432.00 ,  2.00 , 500556-0688-08-000,Servicios de Transporte,Seguridad,fma,diurno
